film,year,wiki_url,oscar_winner,detail_url,producers,production_company,original_budget,converted_budget
Romeo and Juliet,1968,http://en.wikipedia.org/wiki/Romeo_and_Juliet_(1968_film),False,http://oscars.yipitdata.com/films/Romeo_and_Juliet_(1968_film),"Anthony Havelock-Allan , John Brabourne","Paramount, B.H.E. Productions, Verona Produzione, Dino De Laurentiis","$850,000 [ 1 ]",850000
Midnight Cowboy,1969,http://en.wikipedia.org/wiki/Midnight_Cowboy,True,http://oscars.yipitdata.com/films/Midnight_Cowboy,Jerome Hellman,United Artists,$3.2 million [ 1 ],3200000
Anne of the Thousand Days,1969,http://en.wikipedia.org/wiki/Anne_of_the_Thousand_Days,False,http://oscars.yipitdata.com/films/Anne_of_the_Thousand_Days,Hal B. Wallis,Universal,,0
Butch Cassidy and the Sundance Kid,1969,http://en.wikipedia.org/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,http://oscars.yipitdata.com/films/Butch_Cassidy_and_the_Sundance_Kid,John Foreman,20th Century Fox,$6 million [ 2 ],6000000
"Hello, Dolly!",1969,"http://en.wikipedia.org/wiki/Hello,_Dolly!_(film)",False,"http://oscars.yipitdata.com/films/Hello,_Dolly!_(film)",Ernest Lehman,20th Century Fox,$25 million,25000000
Z [K],1969,http://en.wikipedia.org/wiki/Z_(1969_film),False,http://oscars.yipitdata.com/films/Z_(1969_film),"Jacques Perrin , Ahmed Rachedi","O.N.C.I.C., Cinema V",,0
Patton,1970,http://en.wikipedia.org/wiki/Patton_(film),True,http://oscars.yipitdata.com/films/Patton_(film),Frank McCarthy,20th Century Fox,$12.6 million [ 1 ],12600000
Airport,1970,http://en.wikipedia.org/wiki/Airport_(1970_film),False,http://oscars.yipitdata.com/films/Airport_(1970_film),Ross Hunter,Universal,$10.2 million [ 1 ],10200000
Five Easy Pieces,1970,http://en.wikipedia.org/wiki/Five_Easy_Pieces,False,http://oscars.yipitdata.com/films/Five_Easy_Pieces,"Bob Rafelson , Richard Wechsler",Columbia,$1.6 million,1600000
Love Story,1970,http://en.wikipedia.org/wiki/Love_Story_(1970_film),False,http://oscars.yipitdata.com/films/Love_Story_(1970_film),Howard G. Minsky,Paramount,$2.2 million,2200000
MASH,1970,http://en.wikipedia.org/wiki/MASH_(film),False,http://oscars.yipitdata.com/films/MASH_(film),Ingo Preminger,20th Century Fox,$3.025 million [ 2 ],3025000
The French Connection,1971,http://en.wikipedia.org/wiki/The_French_Connection_(film),True,http://oscars.yipitdata.com/films/The_French_Connection_(film),Philip D'Antoni,20th Century Fox,$1.8 million,1800000
A Clockwork Orange,1971,http://en.wikipedia.org/wiki/A_Clockwork_Orange_(film),False,http://oscars.yipitdata.com/films/A_Clockwork_Orange_(film),Stanley Kubrick,Warner Bros.,$2.2 million [ 3 ],2200000
Fiddler on the Roof,1971,http://en.wikipedia.org/wiki/Fiddler_on_the_Roof_(film),False,http://oscars.yipitdata.com/films/Fiddler_on_the_Roof_(film),Norman Jewison,United Artists,$9 million,9000000
The Last Picture Show,1971,http://en.wikipedia.org/wiki/The_Last_Picture_Show,False,http://oscars.yipitdata.com/films/The_Last_Picture_Show,Stephen J. Friedman,Columbia,$1.3 million,1300000
Nicholas and Alexandra,1971,http://en.wikipedia.org/wiki/Nicholas_and_Alexandra,False,http://oscars.yipitdata.com/films/Nicholas_and_Alexandra,Sam Spiegel,Columbia,,0
The Godfather,1972,http://en.wikipedia.org/wiki/The_Godfather,True,http://oscars.yipitdata.com/films/The_Godfather,Albert S. Ruddy,Paramount,$6–7 million [ 1 ] [ 2 ],6000000
Cabaret,1972,http://en.wikipedia.org/wiki/Cabaret_(1972_film),False,http://oscars.yipitdata.com/films/Cabaret_(1972_film),Cy Feuer,"Allied Artists, ABC Pictures","$2,285,000 [ 1 ]",2285000
Deliverance,1972,http://en.wikipedia.org/wiki/Deliverance,False,http://oscars.yipitdata.com/films/Deliverance,John Boorman,Warner Bros.,$2 million,2000000
The Emigrants [K],1972,http://en.wikipedia.org/wiki/The_Emigrants_(film),False,http://oscars.yipitdata.com/films/The_Emigrants_(film),Bengt Forslund,"Warner Bros., Svensk Filmindustri",$1.6 million,1600000
Sounder,1972,http://en.wikipedia.org/wiki/Sounder_(film),False,http://oscars.yipitdata.com/films/Sounder_(film),Robert B. Radnitz,20th Century Fox,"$900,000 [ 3 ]",900000
